# Pay Group 1 Basic hourly rates of pay (in dollars)
# Section: Appendix A
"Table 9 Notes Table 9 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 9 note * referrer"

# Pay Group 10 Basic hourly rates of pay (in dollars) MAN-8 Combination Welder (HP) (1)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",41.58,43.24,45.01
"A) January 1, 2023 table 10 note *",43.04,44.75,46.59
"X) January 1, 2023 - pay line adjustment table 10 note *",43.58,45.31,47.17
"B) January 1, 2024 table 10 note *",44.89,46.67,48.59
"Y) January 1, 2024 - pay line adjustment table 10 note *",45.11,46.90,48.83
"C) January 1, 2025 table 10 note *",46.01,47.84,49.81
"Z) January 1, 2025 - wage adjustment table 10 note *",46.13,47.96,49.93
"D) January 1, 2026",47.05,48.92,50.93
"Table 10 Notes Table 10 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 10 note * referrer"

# Pay Group 11 Basic hourly rates of pay (in dollars) MAC-11 Precision Tool & Die Maker QCW-11 Dimensional Inspection QCW-11 Quality Control
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",42.21,43.91,45.71
"A) January 1, 2023 table 11 note *",43.69,45.45,47.31
"X) January 1, 2023 - pay line adjustment table 11 note *",44.24,46.02,47.90
"B) January 1, 2024 table 11 note *",45.57,47.40,49.34
"Y) January 1, 2024 - pay line adjustment table 11 note *",45.80,47.64,49.59
"C) January 1, 2025 table 11 note *",46.72,48.59,50.58
"Z) January 1, 2025 - wage adjustment table 11 note *",46.84,48.71,50.71
"D) January 1, 2026",47.78,49.68,51.72
"Table 11 Notes Table 11 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 11 note * referrer"

# Pay Group 12 Basic hourly rates of pay (in dollars) EEW-11 Electrical Systems Tech. PLE-10 Planner & Scheduler INM-11 Mech. Inst. Systems Tech. EEW-11 Electronic Systems Tech. (2)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",42.69,44.41,46.16
"A) January 1, 2023 table 12 note *",44.18,45.96,47.78
"X) January 1, 2023 - pay line adjustment table 12 note *",44.73,46.53,48.38
"B) January 1, 2024 table 12 note *",46.07,47.93,49.83
"Y) January 1, 2024 - pay line adjustment table 12 note *",46.30,48.17,50.08
"C) January 1, 2025 table 12 note *",47.23,49.13,51.08
"Z) January 1, 2025 - wage adjustment table 12 note *",47.35,49.25,51.21
"D) January 1, 2026",48.30,50.24,52.23
"Table 12 Notes Table 12 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 12 note * referrer"

# Apprentices Period (3) APA Apprentices 2 years (3)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3,Step 4
"$) January 1, 2022",31.50,33.46,35.41,37.42
"A) January 1, 2023 table 13 note *",32.60,34.63,36.65,38.73
"X) January 1, 2023 - pay line adjustment table 13 note *",33.01,35.06,37.11,39.21
"B) January 1, 2024 table 13 note *",34.00,36.11,38.22,40.39
"Y) January 1, 2024 - pay line adjustment table 13 note *",34.17,36.29,38.41,40.59
"C) January 1, 2025 table 13 note *",34.85,37.02,39.18,41.40
"Z) January 1, 2025 - wage adjustment table 13 note *",34.94,37.11,39.28,41.50
"D) January 1, 2026",35.64,37.85,40.07,42.33
