# EL-01: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"C) September 1, 2024",989.17,"1,026.58","1,064.01","1,101.39","1,180.04"
"Z) September 1, 2024 - Wage Adjustment",991.64,"1,029.15","1,066.68","1,104.15","1,183.00"
"D) September 1, 2025","1,011.48","1,049.74","1,088.01","1,126.23","1,206.65"

# EL-02: weekly rates of pay (in dollars)
# Section: Appendix “B-2”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021",996.65,"1,034.82","1,117.39","1,199.96","1,285.73"
"A) September 1, 2022","1,031.53","1,071.05","1,156.51","1,241.95","1,330.73"
"X) September 1, 2022 - Wage Adjustment","1,044.43","1,084.44","1,170.96","1,257.47","1,347.36"
"B) September 1, 2023","1,075.76","1,116.97","1,206.09","1,295.19","1,387.78"
"Y) September 1, 2023 - Market Adjustment","1,081.15","1,122.55","1,212.13","1,301.67","1,394.72"
"C) September 1, 2024","1,102.77","1,144.99","1,236.37","1,327.70","1,422.61"
"Z) September 1, 2024 - Wage Adjustment","1,105.53","1,147.85","1,239.46","1,331.01","1,426.17"
"D) September 1, 2025","1,127.64","1,170.81","1,264.24","1,357.64","1,454.69"

# EL-03: weekly rates of pay (in dollars)
# Section: Appendix “B-2”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021","1,107.00","1,149.28","1,240.80","1,332.43","1,427.61"
"A) September 1, 2022","1,145.76","1,189.51","1,284.23","1,379.06","1,477.58"
"X) September 1, 2022 - Wage Adjustment","1,160.07","1,204.39","1,300.29","1,396.29","1,496.05"
"B) September 1, 2023","1,194.88","1,240.51","1,339.29","1,438.19","1,540.94"
"Y) September 1, 2023 - Market Adjustment","1,200.86","1,246.72","1,345.98","1,445.38","1,548.64"
"C) September 1, 2024","1,224.87","1,271.66","1,372.91","1,474.28","1,579.62"
"Z) September 1, 2024 - Wage Adjustment","1,227.94","1,274.84","1,376.34","1,477.96","1,583.56"
"D) September 1, 2025","1,252.49","1,300.33","1,403.86","1,507.51","1,615.23"

# EL-04: weekly rates of pay (in dollars)
# Section: Appendix “B-2”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","1,234.03","1,281.32","1,328.89","1,376.40","1,431.46","1,527.81"
"A) September 1, 2022","1,277.23","1,326.17","1,375.40","1,424.58","1,481.56","1,581.28"
"X) September 1, 2022 - Wage Adjustment","1,293.20","1,342.74","1,392.59","1,442.39","1,500.08","1,601.04"
"B) September 1, 2023","1,331.99","1,383.03","1,434.38","1,485.66","1,545.08","1,649.07"
"Y) September 1, 2023 - Market Adjustment","1,338.64","1,389.95","1,441.54","1,493.10","1,552.80","1,657.31"
"C) September 1, 2024","1,365.42","1,417.74","1,470.37","1,522.96","1,583.85","1,690.45"
"Z) September 1, 2024 - Wage Adjustment","1,368.83","1,421.29","1,474.05","1,526.77","1,587.82","1,694.69"
"D) September 1, 2025","1,396.20","1,449.71","1,503.53","1,557.31","1,619.58","1,728.57"

# EL-05: weekly rates of pay (in dollars)
# Section: Appendix “B-2”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","1,368.25","1,421.17","1,473.84","1,526.51","1,587.61","1,694.48"
"A) September 1, 2022","1,416.15","1,470.91","1,525.41","1,579.94","1,643.17","1,753.78"
"X) September 1, 2022 - Wage Adjustment","1,433.86","1,489.29","1,544.48","1,599.68","1,663.72","1,775.70"
"B) September 1, 2023","1,476.87","1,533.96","1,590.83","1,647.67","1,713.62","1,828.96"
"Y) September 1, 2023 - Market Adjustment","1,484.25","1,541.63","1,598.78","1,655.91","1,722.19","1,838.11"
"C) September 1, 2024","1,513.93","1,572.47","1,630.75","1,689.03","1,756.63","1,874.87"
"Z) September 1, 2024 - Wage Adjustment","1,517.71","1,576.40","1,634.83","1,693.25","1,761.02","1,879.56"
"D) September 1, 2025","1,548.07","1,607.92","1,667.53","1,727.12","1,796.25","1,917.15"

# EL-06: weekly rates of pay (in dollars)
# Section: Appendix “B-2”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","1,510.02","1,568.58","1,627.17","1,685.78","1,753.24","1,871.30"
"A) September 1, 2022","1,562.88","1,623.47","1,684.11","1,744.77","1,814.61","1,936.79"
"X) September 1, 2022 - Wage Adjustment","1,582.41","1,643.76","1,705.15","1,766.58","1,837.28","1,961.00"
"B) September 1, 2023","1,629.89","1,693.08","1,756.31","1,819.57","1,892.40","2,019.84"
"Y) September 1, 2023 - Market Adjustment","1,638.03","1,701.55","1,765.08","1,828.68","1,901.87","2,029.94"
"C) September 1, 2024","1,670.79","1,735.59","1,800.39","1,865.24","1,939.91","2,070.53"
"Z) September 1, 2024 - Wage Adjustment","1,674.97","1,739.92","1,804.89","1,869.90","1,944.76","2,075.71"
"D) September 1, 2025","1,708.47","1,774.72","1,840.98","1,907.29","1,983.65","2,117.22"

# EL-07: weekly rates of pay (in dollars)
# Section: Appendix “B-2”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","1,654.38","1,715.54","1,776.89","1,838.11","1,911.66","2,040.31"
"A) September 1, 2022","1,712.28","1,775.59","1,839.08","1,902.45","1,978.57","2,111.72"
"X) September 1, 2022 - Wage Adjustment","1,733.69","1,797.78","1,862.06","1,926.23","2,003.30","2,138.11"
"B) September 1, 2023","1,785.71","1,851.71","1,917.93","1,984.02","2,063.40","2,202.26"
"Y) September 1, 2023 - Market Adjustment","1,794.64","1,860.97","1,927.51","1,993.94","2,073.71","2,213.28"
"C) September 1, 2024","1,830.54","1,898.19","1,966.06","2,033.83","2,115.19","2,257.55"
"Z) September 1, 2024 - Wage Adjustment","1,835.12","1,902.94","1,970.96","2,038.91","2,120.48","2,263.19"
"D) September 1, 2025","1,871.82","1,941.01","2,010.39","2,079.69","2,162.89","2,308.46"

# EL-08: weekly rates of pay (in dollars)
# Section: Appendix “B-2”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","1,785.90","1,848.67","1,911.42","1,974.09","2,053.09","2,191.22"
"A) September 1, 2022","1,848.40","1,913.37","1,978.32","2,043.18","2,124.94","2,267.92"
"X) September 1, 2022 - Wage Adjustment","1,871.51","1,937.29","2,003.05","2,068.73","2,151.51","2,296.27"
"B) September 1, 2023","1,927.65","1,995.40","2,063.13","2,130.79","2,216.06","2,365.15"
"Y) September 1, 2023 - Market Adjustment","1,937.29","2,005.39","2,073.44","2,141.44","2,227.14","2,376.97"
"C) September 1, 2024","1,976.04","2,045.50","2,114.92","2,184.28","2,271.68","2,424.51"
"Z) September 1, 2024 - Wage Adjustment","1,980.99","2,050.62","2,120.21","2,189.74","2,277.35","2,430.56"
"D) September 1, 2025","2,020.60","2,091.63","2,162.60","2,233.54","2,322.89","2,479.17"

# EL-09: weekly rates of pay (in dollars)
# Section: Appendix “B-2”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","1,917.74","1,985.80","2,053.86","2,121.88","2,206.72","2,355.28"
"A) September 1, 2022","1,984.86","2,055.29","2,125.75","2,196.14","2,283.96","2,437.71"
"X) September 1, 2022 - Wage Adjustment","2,009.68","2,080.98","2,152.31","2,223.59","2,312.52","2,468.18"
"B) September 1, 2023","2,069.97","2,143.40","2,216.88","2,290.31","2,381.90","2,542.22"
"Y) September 1, 2023 - Market Adjustment","2,080.32","2,154.11","2,227.96","2,301.75","2,393.80","2,554.93"
"C) September 1, 2024","2,121.93","2,197.20","2,272.52","2,347.78","2,441.68","2,606.03"
"Z) September 1, 2024 - Wage Adjustment","2,127.24","2,202.70","2,278.19","2,353.65","2,447.77","2,612.54"
"D) September 1, 2025","2,169.79","2,246.76","2,323.75","2,400.72","2,496.72","2,664.79"

# EL-01: daily rates of pay (in dollars)
# Section: Appendix “B-3”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021",144.92,151.66,158.46,165.24,172.03
"A) September 1, 2022",149.99,156.97,164.01,171.02,178.05
"X) September 1, 2022 - Wage Adjustment",151.87,158.93,166.06,173.16,180.28
"B) September 1, 2023",156.42,163.70,171.04,178.35,185.69
"Y) September 1, 2023 - Market Adjustment",157.21,164.52,171.90,179.25,186.61
"C) September 1, 2024",160.35,167.81,175.33,182.83,190.35
"Z) September 1, 2024 - Wage Adjustment",160.75,168.23,175.77,183.29,190.82
"D) September 1, 2025",163.97,171.59,179.29,186.95,194.64

# EL-01: daily rates of pay (in dollars): continuation
# Section: Appendix “B-3”
Effective date,Step 6,Step 7,Step 8,Step 9,Step 10
"$) September 1, 2021",178.80,185.56,192.33,199.08,213.30
"A) September 1, 2022",185.06,192.06,199.06,206.05,220.77
"X) September 1, 2022 - Wage Adjustment",187.37,194.46,201.54,208.62,223.53
"B) September 1, 2023",192.99,200.29,207.59,214.88,230.23
"Y) September 1, 2023 - Market Adjustment",193.96,201.29,208.63,215.96,231.38
"C) September 1, 2024",197.83,205.32,212.80,220.28,236.01
"Z) September 1, 2024 - Wage Adjustment",198.33,205.83,213.34,220.83,236.60
"D) September 1, 2025",202.30,209.95,217.60,225.25,241.33

# EL-02: daily rates of pay (in dollars)
# Section: Appendix “B-3”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021",199.33,206.96,223.48,239.99,257.15
"A) September 1, 2022",206.31,214.21,231.30,248.39,266.15
"X) September 1, 2022 - Wage Adjustment",208.89,216.89,234.19,251.49,269.47
"B) September 1, 2023",215.15,223.39,241.22,259.04,277.56
"Y) September 1, 2023 - Market Adjustment",216.23,224.51,242.43,260.33,278.94
"C) September 1, 2024",220.55,229.00,247.27,265.54,284.52
"Z) September 1, 2024 - Wage Adjustment",221.11,229.57,247.89,266.20,285.23
"D) September 1, 2025",225.53,234.16,252.85,271.53,290.94

# EL-03: daily rates of pay (in dollars)
# Section: Appendix “B-3”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021",221.40,229.86,248.16,266.49,285.52
