"Table 3 Notes Table 3 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix G, rates prior to the salary change will be paid as lump sum payments: Year 1: Retroactive lump sum payment equal to a 2% economic increase and 0.8% wage adjustment for a compounded total of 2.816%. Changes to the pay rates will not appear on UTs’ pay statements. Year 2: Retroactive lump sum payment equal to Year 1 increases plus a 2% economic increase and a 0.2% wage adjustment for a compounded total of 5.082%. The revised pay rates will be reflected on the UT’s pay statements upon implementation of prospective salary increases. Return to table 3 note 1 referrer"

"# UT-2: annual rates of pay (in dollars), Steps 9 to 16"
# Section: Appendix A
Effective Date,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16
"$) July 1, 2017","83,885","86,988","90,094","93,195","96,299","99,400","102,503","105,608"
"X) Wage Adjustment Effective July 1, 2018 table 4 note 1","84,556","87,684","90,815","93,941","97,069","100,195","103,323","106,453"
"A) July 1, 2018 table 4 note 1","86,247","89,438","92,631","95,820","99,010","102,199","105,389","108,582"
"Y) Wage Adjustment Effective July 1, 2019 table 4 note 1","86,419","89,617","92,816","96,012","99,208","102,403","105,600","108,799"
"B) July 1, 2019 table 4 note 1","88,147","91,409","94,672","97,932","101,192","104,451","107,712","110,975"
"C) July 1, 2020","89,469","92,780","96,092","99,401","102,710","106,018","109,328","112,640"
"D) July 1, 2021","90,811","94,172","97,533","100,892","104,251","107,608","110,968","114,330"
"Table 4 Notes Table 4 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix G, rates prior to the salary change will be paid as lump sum payments: Year 1: Retroactive lump sum payment equal to a 2% economic increase and 0.8% wage adjustment for a compounded total of 2.816%. Changes to the pay rates will not appear on UTs’ pay statements. Year 2: Retroactive lump sum payment equal to Year 1 increases plus a 2% economic increase and a 0.2% wage adjustment for a compounded total of 5.082%. The revised pay rates will be reflected on the UT’s pay statements upon implementation of prospective salary increases. Return to table 4 note 1 referrer"

"# UT-3: annual rates of pay (in dollars), Steps 1 to 8"
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) July 1, 2017","80,908","84,041","87,174","90,308","93,443","96,575","99,710","102,841"
"X) Wage Adjustment Effective July 1, 2018 table 5 note 1","81,555","84,713","87,871","91,030","94,191","97,348","100,508","103,664"
"A) July 1, 2018 table 5 note 1","83,186","86,407","89,628","92,851","96,075","99,295","102,518","105,737"
"Y) Wage Adjustment Effective July 1, 2019 table 5 note 1","83,352","86,580","89,807","93,037","96,267","99,494","102,723","105,948"
"B) July 1, 2019 table 5 note 1","85,019","88,312","91,603","94,898","98,192","101,484","104,777","108,067"
"C) July 1, 2020","86,294","89,637","92,977","96,321","99,665","103,006","106,349","109,688"
"D) July 1, 2021","87,588","90,982","94,372","97,766","101,160","104,551","107,944","111,333"
"Table 5 Notes Table 5 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix G, rates prior to the salary change will be paid as lump sum payments: Year 1: Retroactive lump sum payment equal to a 2% economic increase and 0.8% wage adjustment for a compounded total of 2.816%. Changes to the pay rates will not appear on UTs’ pay statements. Year 2: Retroactive lump sum payment equal to Year 1 increases plus a 2% economic increase and a 0.2% wage adjustment for a compounded total of 5.082%. The revised pay rates will be reflected on the UT’s pay statements upon implementation of prospective salary increases. Return to table 5 note 1 referrer"

"# UT-3: annual rates of pay (in dollars), Steps 9 to 16"
# Section: Appendix A
Effective Date,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16
"$) July 1, 2017","105,973","109,107","112,242","115,376","118,510","121,644","124,776","127,910"
"X) Wage Adjustment Effective July 1, 2018 table 6 note 1","106,821","109,980","113,140","116,299","119,458","122,617","125,774","128,933"
"A) July 1, 2018 table 6 note 1","108,957","112,180","115,403","118,625","121,847","125,069","128,289","131,512"
"Y) Wage Adjustment Effective July 1, 2019 table 6 note 1","109,175","112,404","115,634","118,862","122,091","125,319","128,546","131,775"
"B) July 1, 2019 table 6 note 1","111,359","114,652","117,947","121,239","124,533","127,825","131,117","134,411"
"C) July 1, 2020","113,029","116,372","119,716","123,058","126,401","129,742","133,084","136,427"
"D) July 1, 2021","114,724","118,118","121,512","124,904","128,297","131,688","135,080","138,473"
"Table 6 Notes Table 6 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix G, rates prior to the salary change will be paid as lump sum payments: Year 1: Retroactive lump sum payment equal to a 2% economic increase and 0.8% wage adjustment for a compounded total of 2.816%. Changes to the pay rates will not appear on UTs’ pay statements. Year 2: Retroactive lump sum payment equal to Year 1 increases plus a 2% economic increase and a 0.2% wage adjustment for a compounded total of 5.082%. The revised pay rates will be reflected on the UT’s pay statements upon implementation of prospective salary increases. Return to table 6 note 1 referrer"

"# UT-4: annual rates of pay (in dollars), Steps 1 to 10"
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10
"$) July 1, 2017","96,100","99,234","102,367","105,500","108,634","111,769","114,900","118,032","121,171","124,303"
"X) Wage Adjustment Effective July 1, 2018 table 7 note 1","96,869","100,028","103,186","106,344","109,503","112,663","115,819","118,976","122,140","125,297"
"A) July 1, 2018 table 7 note 1","98,806","102,029","105,250","108,471","111,693","114,916","118,135","121,356","124,583","127,803"
"Y) Wage Adjustment Effective July 1, 2019 table 7 note 1","99,004","102,233","105,461","108,688","111,916","115,146","118,371","121,599","124,832","128,059"
"B) July 1, 2019 table 7 note 1","100,984","104,278","107,570","110,862","114,154","117,449","120,738","124,031","127,329","130,620"
"C) July 1, 2020","102,499","105,842","109,184","112,525","115,866","119,211","122,549","125,891","129,239","132,579"
"D) July 1, 2021","104,036","107,430","110,822","114,213","117,604","120,999","124,387","127,779","131,178","134,568"
"Table 7 Notes Table 7 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix G, rates prior to the salary change will be paid as lump sum payments: Year 1: Retroactive lump sum payment equal to a 2% economic increase and 0.8% wage adjustment for a compounded total of 2.816%. Changes to the pay rates will not appear on UTs’ pay statements. Year 2: Retroactive lump sum payment equal to Year 1 increases plus a 2% economic increase and a 0.2% wage adjustment for a compounded total of 5.082%. The revised pay rates will be reflected on the UT’s pay statements upon implementation of prospective salary increases. Return to table 7 note 1 referrer"

"# UT-4: annual rates of pay (in dollars), Steps 11 to 19"
# Section: Appendix A
Effective Date,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19
"$) July 1, 2017","127,436","130,570","133,702","136,836","139,969","143,104","146,237","149,369","152,505"
"X) Wage Adjustment Effective July 1, 2018 table 8 note 1","128,455","131,615","134,772","137,931","141,089","144,249","147,407","150,564","153,725"
"A) July 1, 2018 table 8 note 1","131,024","134,247","137,467","140,690","143,911","147,134","150,355","153,575","156,800"
"Y) Wage Adjustment Effective July 1, 2019 table 8 note 1","131,286","134,515","137,742","140,971","144,199","147,428","150,656","153,882","157,114"
"B) July 1, 2019 table 8 note 1","133,912","137,205","140,497","143,790","147,083","150,377","153,669","156,960","160,256"
"C) July 1, 2020","135,921","139,263","142,604","145,947","149,289","152,633","155,974","159,314","162,660"
"D) July 1, 2021","137,960","141,352","144,743","148,136","151,528","154,922","158,314","161,704","165,100"
"Table 8 Notes Table 8 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix G, rates prior to the salary change will be paid as lump sum payments: Year 1: Retroactive lump sum payment equal to a 2% economic increase and 0.8% wage adjustment for a compounded total of 2.816%. Changes to the pay rates will not appear on UTs’ pay statements. Year 2: Retroactive lump sum payment equal to Year 1 increases plus a 2% economic increase and a 0.2% wage adjustment for a compounded total of 5.082%. The revised pay rates will be reflected on the UT’s pay statements upon implementation of prospective salary increases. Return to table 8 note 1 referrer"

